location	listing_type	listing_id
dtdistrict15	rent	listing_1080
dtdistrict10	rent	listing_1081
dtdistrict19	room	listing_1082
dtdistrict12	sale	listing_1083
dtdistrict09	rent	listing_1084
dtdistrict23	rent	listing_1085
dtdistrict15	rent	listing_1086
dtdistrict03	rent	listing_1087
dtdistrict11	rent	listing_1088
dtdistrict18	rent	listing_1089
dtdistrict10	sale	listing_109
dtdistrict09	rent	listing_1090
dtdistrict12	rent	listing_1091
dtdistrict03	rent	listing_1092
dtdistrict12	sale	listing_1093
dtdistrict11	rent	listing_1094
dtdistrict23	room	listing_1095
dtdistrict03	rent	listing_1096
dtdistrict10	rent	listing_1097
dtdistrict21	rent	listing_1098
dtdistrict22	rent	listing_1099
dtdistrict09	rent	listing_11
dtdistrict07	rent	listing_110
dtdistrict09	rent	listing_1100
dtdistrict03	rent	listing_1101
dtdistrict03	rent	listing_1102
dtdistrict12	rent	listing_1103
dtdistrict14	rent	listing_1104
dtdistrict04	rent	listing_1105
dtdistrict09	rent	listing_1106
dtdistrict19	rent	listing_1107
dtdistrict03	rent	listing_1108
dtdistrict21	rent	listing_1109
dtdistrict21	rent	listing_111
dtdistrict11	rent	listing_1110
dtdistrict16	rent	listing_1111
dtdistrict27	rent	listing_1112
dtdistrict22	rent	listing_1113
dtdistrict12	rent	listing_1114
dtdistrict07	rent	listing_1115
dtdistrict23	rent	listing_1116
dtdistrict22	rent	listing_1117
dtdistrict03	rent	listing_1118
dtdistrict19	rent	listing_1119
dtdistrict10	rent	listing_112
dtdistrict27	rent	listing_1120
dtdistrict27	rent	listing_1121
dtdistrict21	rent	listing_1122
dtdistrict03	rent	listing_1123
dtdistrict28	rent	listing_1124
dtdistrict04	rent	listing_1125
dtdistrict22	rent	listing_1126
dtdistrict22	sale	listing_1127
dtdistrict14	rent	listing_1128
dtdistrict10	rent	listing_1129
dtdistrict10	rent	listing_113
dtdistrict18	rent	listing_1130
dtdistrict18	sale	listing_1131
dtdistrict11	rent	listing_1132
dtdistrict04	rent	listing_1133
dtdistrict23	rent	listing_1134
dtdistrict03	rent	listing_1135
dtdistrict15	rent	listing_1136
dtdistrict19	room	listing_1137
dtdistrict21	rent	listing_1138
dtdistrict11	rent	listing_1139
dtdistrict16	rent	listing_114
dtdistrict20	rent	listing_1140
dtdistrict03	rent	listing_1141
dtdistrict20	rent	listing_1142
dtdistrict22	rent	listing_1143
dtdistrict05	room	listing_1144
dtdistrict15	rent	listing_1145
dtdistrict03	rent	listing_1146
dtdistrict03	rent	listing_1147
dtdistrict15	rent	listing_1148
dtdistrict03	rent	listing_1149
dtdistrict03	rent	listing_115
dtdistrict05	rent	listing_1150
dtdistrict11	rent	listing_1151
dtdistrict10	rent	listing_1152
dtdistrict03	rent	listing_1153
dtdistrict14	rent	listing_1154
dtdistrict15	rent	listing_1155
dtdistrict20	rent	listing_1156
dtdistrict05	rent	listing_1157
dtdistrict12	rent	listing_1158
dtdistrict22	rent	listing_1159
dtdistrict23	rent	listing_116
