search_time	search_id	listing_type	property_type	search_location	search_price_min	search_price_max	platform	user_id
2018-07-01 9:26:11	517	sale	condo	dtdistrict03,dtdistrict04,dtdistrict07,dtdistrict08,dtdistrict11,dtdistrict14,dtdistrict15	100000	850000	web	u1945
2018-07-01 9:26:14	518	rent	condo	dtdistrict09	1500	3000	web	u1959
2018-07-01 9:26:25	519	rent	condo	dtdistrict09	1500	3000	web	u1959
2018-07-01 9:26:32	520	rent	condo	dtdistrict09	1500	3000	web	u1959
2018-07-01 9:26:38	521	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		5500	web	u1623
2018-07-01 9:26:43	522	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		5500	web	u1623
2018-07-01 9:26:50	523	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		5500	web	u1623
2018-07-01 9:26:56	524	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		5500	web	u1623
2018-07-01 9:27:34	525	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		5500	web	u1623
2018-07-01 9:27:37	526	sale	landed	dtdistrict28		3200000	web	u1105
2018-07-01 9:27:40	527	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		5500	web	u1623
2018-07-01 9:27:42	528	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		5500	web	u1623
2018-07-01 9:28:05	529	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		5500	web	u1623
2018-07-01 9:28:07	530	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		5500	web	u1623
2018-07-01 9:28:10	531	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		6000	web	u1623
2018-07-01 9:28:15	532	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		8000	web	u1623
2018-07-01 9:28:20	533	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		12000	web	u1623
2018-07-01 9:28:25	534	rent		dtdistrict01,dtdistrict02,dtdistrict04,dtdistrict06,dtdistrict09		15000	web	u1623
2018-07-01 9:28:42	535	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:28:49	536	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:31:09	537	rent		dtdistrict08	1500	3000	web	u1959
2018-07-01 9:31:13	538	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:31:31	539	rent		dtdistrict08	1500	3000	web	u1959
2018-07-01 9:31:34	540	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:31:44	541	rent		dtdistrict08	1500	3000	web	u1959
2018-07-01 9:32:19	542	rent		dtdistrict08	1500	3000	web	u1959
2018-07-01 9:32:21	543	sale		dtdistrict19		1000000	web	u1919
2018-07-01 9:32:25	544	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:32:26	545	sale	condo	dtdistrict19		1000000	web	u1919
